2025.08.09 18:36:17,907	INFO	63	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.09 18:36:17,907	INFO	63	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2025.08.09 18:36:17,907	INFO	63	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2025.08.09 18:36:17,907	INFO	63	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2025.08.09 18:36:17,907	INFO	63	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/0.0.0.0/0
2025.08.09 18:47:08,448	INFO	63	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2025.08.09 18:47:08,448	INFO	63	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2025.08.09 18:47:24,059	INFO	68	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2025.08.09 18:47:24,060	INFO	68	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/0.0.0.0/0
2025.08.09 18:49:36,310	INFO	68	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2025.08.09 18:49:36,310	INFO	68	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
